Coord.,Distance (m),Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,PL (dB),Comments
E-1,28,6,2,0,0,0,122,
G-1,28.0713377,3,1,1,0,0,106,
I-1,28.28427125,2,0,1,0,0,100,
J-1,28.44292531,3,0,1,0,0,103,
K-1,28.63564213,3,0,0,0,0,109,
A-2,27.29468813,6,2,0,0,0,122,
E-2,27,6,2,0,0,0,122,
G-2,27.07397274,3,0,1,0,0,100,
H-2,27.16615541,2,0,1,0,0,101,
I-2,27.29468813,2,0,1,0,0,99,
J-2,27.45906044,4,0,1,0,0,103,
K-2,27.65863337,4,0,1,0,0,105,
E-3,26,6,2,0,0,0,108,
F-3,26.01922366,5,0,0,0,0,95,
G-3,26.07680962,3,0,1,0,0,100,
H-3,26.17250466,2,1,1,0,0,99,
I-3,26.30589288,2,0,1,0,0,96,
J-3,26.47640459,4,0,0,0,0,99,
K-3,26.68332813,4,0,1,0,0,106,
A-4,25.3179778,6,2,0,0,0,118,
E-4,25,6,2,0,0,0,109,
F-4,25.01999201,4,2,0,0,0,97,
G-4,25.07987241,3,1,1,0,0,93,
H-4,25.17935662,1,1,1,0,0,100,
I-4,25.3179778,2,0,1,0,0,115,
J-4,25.49509757,4,0,0,0,0,116,
K-4,25.70992026,5,1,0,0,0,103,
A-5,24.33105012,6,2,0,0,0,115,
B-5,24.18677324,6,2,0,0,0,115,
C-5,24.08318916,6,2,0,0,0,111,
D-5,24.0208243,6,2,0,0,0,116,
E-5,24,6,2,0,0,0,109,
F-5,24.0208243,5,2,0,0,0,93,
G-5,24.08318916,3,1,0,0,0,91,
H-5,24.18677324,3,1,0,0,0,86,
I-5,24.33105012,3,0,0,0,0,108,
J-5,24.51530134,4,0,0,0,0,101,
D-6,23.02172887,6,2,0,0,0,105,
E-6,23,6,2,0,0,0,110,
F-6,23.02172887,4,2,0,0,0,94,
G-6,23.08679276,3,1,0,0,0,90,
H-6,23.19482701,2,1,0,0,0,99,
I-6,23.34523506,2,0,0,0,0,109,
J-6,23.53720459,4,0,0,0,0,107,
A-7,22.36067977,5,2,0,0,0,117,
B-7,22.20360331,5,2,0,0,0,112,
C-7,22.09072203,5,2,0,0,0,111,
D-7,22.02271555,5,2,0,0,0,112,
E-7,22,5,2,0,0,0,112,
F-7,22.02271555,4,2,0,0,0,97,
G-7,22.09072203,3,2,0,0,0,88,
H-7,22.20360331,2,1,0,0,0,87,
I-7,22.36067977,4,0,0,0,0,94,
A-8,21.37755833,5,2,0,0,0,118,
B-8,21.21320344,5,2,0,0,0,112,
C-8,21.09502311,5,2,0,0,0,114,
D-8,21.02379604,5,2,0,0,0,112,
E-8,21,5,2,0,0,0,109,
F-8,21.02379604,4,2,0,0,0,85,
G-8,21.09502311,3,0,0,0,0,89,
H-8,21.21320344,2,1,0,0,0,87,
I-8,21.37755833,4,0,0,0,0,98,
