Coord.,Distance (m),Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,Elevator,PL (dB),Comments
B-1,26.0287,0,0,0,1,0,0,77,
C-1,25.2045,0,0,0,1,0,0,88,
D-1,24.4276,0,0,0,1,0,0,80,
E-1,23.7028,0,0,0,1,0,0,80,
F-1,23.0350,0,0,0,1,0,0,84,
B-2,24.9850,0,0,0,1,0,0,82,
C-2,24.1251,0,0,0,1,0,0,87,
D-2,23.3123,0,0,0,1,0,0,94,
E-2,22.5517,0,0,0,1,0,0,75,
F-2,21.8487,0,0,0,1,0,0,86,
G-2,21.2091,0,0,0,1,0,0,85,
H-2,20.6387,0,0,0,1,1,0,81,
I-2,20.1435,0,0,0,1,0,0,80,
J-2,19.7291,0,0,0,1,0,0,82,
C-3,23.0748,0,0,0,1,0,0,80,
D-3,22.2237,0,0,0,1,0,0,81,
E-3,21.4244,0,0,0,1,0,0,81,
F-3,20.6832,0,0,0,1,0,0,84,
G-3,20.0063,0,0,0,1,0,0,82,
H-3,19.4006,0,0,0,1,1,0,81,
I-3,18.8730,0,0,0,1,1,0,78,
J-3,18.4300,0,0,0,1,0,0,81,
K-3,18.0780,0,0,0,1,0,0,84,
L-3,17.8222,0,0,1,0,0,0,80,
M-3,17.6670,0,0,1,0,0,0,82,
N-3,17.6150,0,0,1,0,1,0,90,
A-4,23.9724,0,0,0,1,1,0,83,
C-4,22.0578,0,0,0,1,0,0,81,
D-4,21.1658,0,0,0,1,0,0,85,
E-4,20.3250,0,0,0,1,0,0,74,
F-4,19.5421,0,0,0,1,0,0,78,
G-4,18.8243,0,0,0,1,0,0,87,
H-4,18.1792,0,0,0,1,0,0,77,
I-4,17.6150,0,0,0,1,1,0,86,
M-4,16.3164,0,0,1,0,0,0,79,
N-4,16.2600,0,0,1,0,1,0,82,
O-4,16.3164,0,0,1,0,1,0,81,
P-4,16.4843,0,0,1,0,1,0,83,
Q-4,16.7604,0,0,1,0,0,0,78,
R-4,17.1395,0,0,1,0,0,0,79,
