Coord.,Distance,Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,P_rx (dBm),Comments
A-1,28.28427125,,,,,,NP,
B-1,28.16025568,,,,,,NP,
C-1,28.0713377,,,,,,NP,
D-1,28.01785145,,,,,,NP,
E-1,28,6,2,0,0,0,-112,
F-1,28.01785145,,,,0,0,NP,
G-1,28.0713377,3,1,1,0,0,-96,
H-1,28.16025568,,,,0,0,NP,
I-1,28.28427125,2,0,1,0,0,-90,
J-1,28.44292531,3,0,1,0,0,-93,
K-1,28.63564213,3,0,0,0,0,-99,
L-1,28.86173938,,,,0,0,NP,
M-1,29.12043956,,,,0,0,NP,
N-1,29.41088234,,,,0,0,NP,
O-1,29.73213749,,,,0,0,NP,
P-1,30.08321791,,,,0,0,NP,
A-2,27.29468813,6,2,0,0,0,-112,
B-2,27.16615541,,,,0,0,NP,
C-2,27.07397274,,,,0,0,NP,
D-2,27.01851217,,,,0,0,NP,
E-2,27,6,2,0,0,0,-112,
F-2,27.01851217,,,,0,0,NP,
G-2,27.07397274,3,0,1,0,0,-90,
H-2,27.16615541,2,0,1,0,0,-91,
I-2,27.29468813,2,0,1,0,0,-89,
J-2,27.45906044,4,0,1,0,0,-93,
K-2,27.65863337,4,0,1,0,0,-95,
L-2,27.89265136,,,,0,0,NP,
M-2,28.16025568,,,,0,0,NP,
N-2,28.46049894,,,,0,0,NP,
O-2,28.7923601,,,,0,0,NP,
P-2,29.15475947,,,,0,0,NP,
A-3,26.30589288,,,,0,0,NP,
B-3,26.17250466,,,,0,0,NP,
C-3,26.07680962,,,,0,0,NP,
D-3,26.01922366,,,,0,0,NP,
E-3,26,6,2,0,0,0,-98,
F-3,26.01922366,5,0,0,0,0,-85,
G-3,26.07680962,3,0,1,0,0,-90,
H-3,26.17250466,2,1,1,0,0,-89,
I-3,26.30589288,2,0,1,0,0,-86,
J-3,26.47640459,4,0,0,0,0,-89,
K-3,26.68332813,4,0,1,0,0,-96,
