Coord.,Distance,Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,P_rx (dBm),Comments
A-1,26.896,,,,,,NP,
B-1,26.0287,0,0,0,1,0,-67,
C-1,25.2045,0,0,0,1,0,-78,
D-1,24.4276,0,0,0,1,0,-70,
E-1,23.7028,0,0,0,1,0,-70,
F-1,23.035,0,0,0,1,0,-74,
G-1,22.4292,,,,,,NP,
H-1,21.8907,,,,,,NP,
I-1,21.4244,,,,,,NP,
J-1,21.0353,,,,,,NP,
K-1,20.7275,,,,,,NP,
L-1,20.5049,,,,,,NP,
M-1,20.3701,,,,,,NP,
N-1,20.325,,,,,,NP,
O-1,20.3701,,,,,,NP,
P-1,20.5049,,,,,,NP,
Q-1,20.7275,,,,,,NP,
R-1,21.0353,,,,,,NP,
S-1,21.4244,,,,,,NP,
T-1,21.8907,,,,,,NP,
U-1,22.4292,,,,,,NP,
V-1,23.035,,,,,,NP,
W-1,23.7028,,,,,,NP,
X-1,24.4276,,,,,,NP,
Y-1,25.2045,,,,,,NP,
A-2,25.8872,,,,,,NP,
B-2,24.985,0,0,0,1,0,-72,
C-2,24.1251,0,0,0,1,0,-77,
D-2,23.3123,0,0,0,1,0,-84,
E-2,22.5517,0,0,0,1,0,-65,
F-2,21.8487,0,0,0,1,0,-76,
G-2,21.2091,0,0,0,1,0,-75,
H-2,20.6387,0,0,0,1,1,-71,
I-2,20.1435,0,0,0,1,0,-70,
J-2,19.7291,0,0,0,1,0,-72,
K-2,19.4006,,,,,,NP,
L-2,19.1626,,,,,,NP,
M-2,19.0183,,,,,,NP,
N-2,18.97,,,,,,NP,
O-2,19.0183,,,,,,NP,
P-2,19.1626,,,,,,NP,
Q-2,19.4006,,,,,,NP,
R-2,19.7291,,,,,,NP,
S-2,20.1435,,,,,,NP,
T-2,20.6387,,,,,,NP,
U-2,21.2091,,,,,,NP,
V-2,21.8487,,,,,,NP,
W-2,22.5517,,,,,,NP,
X-2,23.3123,,,,,,NP,
Y-2,24.1251,,,,,,NP,
A-3,24.9114,,,,,,NP,
B-3,23.9724,,,,,,NP,
C-3,23.0748,0,0,0,1,0,-70,
D-3,22.2237,0,0,0,1,0,-71,
E-3,21.4244,0,0,0,1,0,-71,
F-3,20.6832,0,0,0,1,0,-74,
G-3,20.0063,0,0,0,1,0,-72,
H-3,19.4006,0,0,0,1,1,-71,
I-3,18.873,0,0,0,1,1,-68,
J-3,18.43,0,0,0,1,0,-71,
K-3,18.078,0,0,0,1,0,-74,
L-3,17.8222,0,0,1,0,0,-70,
M-3,17.667,0,0,1,0,0,-72,
N-3,17.615,0,0,1,0,1,-80,
O-3,17.667,,,,,,NP,
P-3,17.8222,,,,,,NP,
Q-3,18.078,,,,,,NP,
R-3,18.43,,,,,,NP,
S-3,18.873,,,,,,NP,
T-3,19.4006,,,,,,NP,
U-3,20.0063,,,,,,NP,
V-3,20.6832,,,,,,NP,
W-3,21.4244,,,,,,NP,
X-3,22.2237,,,,,,NP,
Y-3,23.0748,,,,,,NP,
A-4,23.9724,0,0,0,1,1,-73,
B-4,22.9951,,,,,,NP,
C-4,22.0578,0,0,0,1,0,-71,
D-4,21.1658,0,0,0,1,0,-75,
