Coord.,Distance (m),Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,P_rx (dBm),Comments
E-1,28.02634876,6,2,0,0,0,-111,
G-1,28.09761956,3,1,1,0,0,-100,
H-1,28.18645464,3,0,1,0,0,-95,
I-1,28.31035544,2,0,1,0,0,-96,
J-1,28.46886413,3,0,1,0,0,-94,
K-1,28.66140654,3,0,0,0,0,-92,
E-2,27.02732367,6,2,0,0,0,-107,
G-2,27.10122184,3,0,1,0,0,-88,
H-2,27.19331214,2,0,1,0,0,-100,
I-2,27.32171709,2,0,1,0,0,-96,
J-2,27.48592776,4,0,1,0,0,-98,
K-2,27.68530702,4,0,1,0,0,-92,
A-3,26.33393675,6,2,0,0,0,-112,
E-3,26.02837346,6,2,0,0,0,-100,
F-3,26.04757618,5,0,0,0,0,-100,
G-3,26.1050996,3,0,1,0,0,-79,
H-3,26.20069131,2,1,1,0,0,-94,
I-3,26.33393675,2,0,1,0,0,-90,
J-3,26.50426805,4,0,0,0,0,-98,
K-3,26.71097574,4,0,1,0,0,-96,
A-4,25.34711473,6,2,0,0,0,-105,
E-4,25.02950709,6,2,0,0,0,-98,
F-4,25.04947554,4,2,0,0,0,-77,
G-4,25.10928563,3,1,1,0,0,-82,
H-4,25.20865377,1,1,1,0,0,-95,
I-4,25.34711473,2,0,1,0,0,-85,
J-4,25.5240323,4,0,0,0,0,-89,
K-4,25.7386135,5,1,0,0,0,-101,
A-5,24.36136747,6,2,0,0,0,-101,
B-5,24.21727121,6,2,0,0,0,-103,
C-5,24.11381813,6,2,0,0,0,-97,
D-5,24.0515327,6,2,0,0,0,-106,
E-5,24.03073501,6,2,0,0,0,-97,
F-5,24.0515327,5,2,0,0,0,-84,
G-5,24.11381813,3,1,0,0,0,-80,
H-5,24.21727121,3,1,0,0,0,-86,
I-5,24.36136747,3,0,0,0,0,-98,
J-5,24.54539112,4,0,0,0,0,-93,
A-6,23.37683094,6,2,0,0,0,-103,
B-6,23.2266275,6,2,0,0,0,-108,
C-6,23.11874186,6,2,0,0,0,-103,
E-6,23.03206949,6,2,0,0,0,-99,
F-6,23.05376813,4,2,0,0,0,-77,
