PL,P_ladrillo,P_madera,P_vidrio,P_Tablaroca,Columna,Distancia,h_Rx,h_Tx
122,6,2,0,0,0,28,1.5,1.5
106,3,1,1,0,0,28.0713377,1.5,1.5
100,2,0,1,0,0,28.28427125,1.5,1.5
103,3,0,1,0,0,28.44292531,1.5,1.5
109,3,0,0,0,0,28.63564213,1.5,1.5
122,6,2,0,0,0,27.29468813,1.5,1.5
122,6,2,0,0,0,27,1.5,1.5
100,3,0,1,0,0,27.07397274,1.5,1.5
101,2,0,1,0,0,27.16615541,1.5,1.5
99,2,0,1,0,0,27.29468813,1.5,1.5
103,4,0,1,0,0,27.45906044,1.5,1.5
105,4,0,1,0,0,27.65863337,1.5,1.5
108,6,2,0,0,0,26,1.5,1.5
95,5,0,0,0,0,26.01922366,1.5,1.5
100,3,0,1,0,0,26.07680962,1.5,1.5
99,2,1,1,0,0,26.17250466,1.5,1.5
96,2,0,1,0,0,26.30589288,1.5,1.5
99,4,0,0,0,0,26.47640459,1.5,1.5
106,4,0,1,0,0,26.68332813,1.5,1.5
118,6,2,0,0,0,25.3179778,1.5,1.5
109,6,2,0,0,0,25,1.5,1.5
97,4,2,0,0,0,25.01999201,1.5,1.5
93,3,1,1,0,0,25.07987241,1.5,1.5
100,1,1,1,0,0,25.17935662,1.5,1.5
115,2,0,1,0,0,25.3179778,1.5,1.5
116,4,0,0,0,0,25.49509757,1.5,1.5
103,5,1,0,0,0,25.70992026,1.5,1.5
115,6,2,0,0,0,24.33105012,1.5,1.5
115,6,2,0,0,0,24.18677324,1.5,1.5
111,6,2,0,0,0,24.08318916,1.5,1.5
116,6,2,0,0,0,24.0208243,1.5,1.5
109,6,2,0,0,0,24,1.5,1.5
93,5,2,0,0,0,24.0208243,1.5,1.5
91,3,1,0,0,0,24.08318916,1.5,1.5
86,3,1,0,0,0,24.18677324,1.5,1.5
108,3,0,0,0,0,24.33105012,1.5,1.5
101,4,0,0,0,0,24.51530134,1.5,1.5
105,6,2,0,0,0,23.02172887,1.5,1.5
110,6,2,0,0,0,23,1.5,1.5
94,4,2,0,0,0,23.02172887,1.5,1.5
90,3,1,0,0,0,23.08679276,1.5,1.5
99,2,1,0,0,0,23.19482701,1.5,1.5
109,2,0,0,0,0,23.34523506,1.5,1.5
107,4,0,0,0,0,23.53720459,1.5,1.5
117,5,2,0,0,0,22.36067977,1.5,1.5
112,5,2,0,0,0,22.20360331,1.5,1.5
111,5,2,0,0,0,22.09072203,1.5,1.5
112,5,2,0,0,0,22.02271555,1.5,1.5
112,5,2,0,0,0,22,1.5,1.5
97,4,2,0,0,0,22.02271555,1.5,1.5
88,3,2,0,0,0,22.09072203,1.5,1.5
87,2,1,0,0,0,22.20360331,1.5,1.5
94,4,0,0,0,0,22.36067977,1.5,1.5
